ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
121	Turkmen	all	j ɯ q ɯ l	jɯqɯl	6 7 1 7 5	AXBYN	JIKIL	6	6.J.C 6.I.V 6.K.C 6.I.V 6.L.c	2.0 1.5 1.75 1.3 0.8	0	15
122	Uyghur	all	ʒ i q i l	ʒiqil	3 7 1 7 5	AXBYN	SIKIL	7	7.S.C 7.I.V 7.K.C 7.I.V 7.L.c	2.0 1.5 1.75 1.3 0.8	0	16
123	Uzbek	all	j i q i l	jiqil	6 7 1 7 5	AXBYN	JIKIL	8	8.J.C 8.I.V 8.K.C 8.I.V 8.L.c	2.0 1.5 1.75 1.3 0.8	0	17
124	Azerbaijani	all	d y ʃ	dyʃ	1 7 3	AXN	TYS	1	1.T.C 1.Y.V 1.S.c	2.0 1.5 0.8	0	10
125	Turkish	all	d y ʃ	dyʃ	1 7 3	AXN	TYS	5	5.T.C 5.Y.V 5.S.c	2.0 1.5 0.8	0	10
126	Yakut	all	t y s	tys	1 7 3	AXN	TYS	9	9.T.C 9.Y.V 9.S.c	2.0 1.5 0.8	0	10
127	Chuvash	all	y k	yk	7 1	XN	YK	2	2.Y.V 2.K.c	1.5 0.8	0	11
35	Azerbaijani	bark	ɢ a b ɯ ɢ	ɢabɯɢ	1 7 1 7 1	AXBYN	KAPIK	1	1.K.C 1.A.V 1.P.C 1.I.V 1.K.c	2.0 1.5 1.75 1.3 0.8	0	18
36	Chuvash	bark	χ u b ə	χubə̈	3 7 1 7	AXBZ	GYPE	2	2.G.C 2.Y.V 2.P.C 2.E.V	2.0 1.5 1.75 0.8	0	18
37	Kazakh	bark	q a b ɯ q	qabɯq	1 7 1 7 1	AXBYN	KAPIK	3	3.K.C 3.A.V 3.P.C 3.I.V 3.K.c	2.0 1.5 1.75 1.3 0.8	0	18
38	Kyrgyz	bark	q a b ɯ q	qabɯq	1 7 1 7 1	AXBYN	KAPIK	4	4.K.C 4.A.V 4.P.C 4.I.V 4.K.c	2.0 1.5 1.75 1.3 0.8	0	18
